"article_id","year","journal","title","authors","method","sub_territory","abstract"
"19","2016","Organization Science","How network density influences knowledge access: evidence from professional services","Heinz, I., Pereira, L., & Bouchard, N.","Qualitative","social_capital","Through a comparative case design, this paper examines whether network density influences knowledge access. The argument draws on the social capital literature and extends recent work on capability deployment. Through a comparative case study of 3 firms, we examine the proposed mechanisms. Construct measures are drawn from previously validated scales; reliability and discriminant validity are confirmed. The findings reveal that relational social capital significantly enhances collaborative behaviour across the sample. Furthermore, network density significantly enhances knowledge access across the sample. The results identify the impact of network centrality on knowledge transfer both in isolation and in combination with other strategic resources. Furthermore, knowledge access is determined by network density. In addition, knowledge transfer mediates the effect of network centrality on firm performance. Contrary to expectations, network density is the proximal antecedent of knowledge access. Importantly, network embeddedness is positively associated with opportunity recognition. The case findings are triangulated across multiple data sources and respondent groups. The interpretation we offer is provisional and would benefit from replication using alternative samples. The empirical pattern is consistent with a contingency-theoretic interpretation of network density but is harder to reconcile with strong universalistic accounts. The study contributes to the social capital literature in three ways. The findings refine the resource-based view by specifying the mechanisms through which network density generate sustained competitive advantage. Future work should examine whether the identified mechanisms operate similarly in service-dominated industries."
"20","2014","Journal of Management","Scientific collaboration and patent productivity: a absorptive capacity perspective","Cattaneo, M.","Quantitative","absorptive_capacity","Using a multi-industry sample, this study examines the mechanisms through which scientific collaboration influences patent productivity. The hypotheses are tested using two-stage least squares on data from 754 firms. Furthermore, scientific collaboration has a positive and significant effect on patent productivity. Knowledge complexity attenuates the effect of knowledge acquisition on incremental innovation. We discuss the implications of the findings for practice and identify three managerial recommendations."
"21","2018","Academy of Management Review","Seizing capability, firm performance, and the contingent role of environmental dynamism","Brennan, F., & Lefebvre, M.","Experimental","dynamic_capabilities","We analyse the role of seizing capability influences firm performance. We position the argument within the broader dynamic capabilities literature and identify three competing accounts of the focal mechanism. We test the conceptual model using an experimental design with 1024 participants drawn from small and medium-sized enterprises. The findings indicate that seizing capability is a precursor of firm performance. We further find that strategic flexibility mediates the effect of first-order capabilities on sustainable competitive advantage. Consistent with the hypotheses, managerial cognitive diversity is a critical antecedent of strategic flexibility under the boundary conditions identified. Moreover, asset orchestration reduces sustained competitive advantage. Supplementary analyses rule out reverse-causality and common-method bias as alternative explanations. The findings have implications for the strategic-management literature on seizing capability and for managers seeking to deploy these resources effectively."
"22","2005","Long Range Planning","How structural capital influences firm value: evidence from energy","Engelhardt, W., Schweiger, N., Wong, W., & Roth, K.","Conceptual","intellectual_capital","We develop a theoretical framework that addresses the conditions under which structural capital influences firm value. The paper builds on the intellectual capital and engages with recent critiques concerning measurement and identification. We develop a theoretical framework and illustrate it through three vignettes drawn from energy firms. The sample spans 7 years and covers firms varying in size and ownership structure. We find that organisational capital significantly enhances innovation performance across the sample. Industry life-cycle stage moderates the effect of structural capital on firm value. Importantly, structural capital is the proximal antecedent of firm value. Furthermore, intellectual capital integration is an outcome of organisational capital. We further find that the analysis quantifies the contribution of structural capital to firm value across the full panel and within key sub-samples. Our results suggest that structural capital has a significant positive effect on firm value. We illustrate the framework with examples drawn from prior empirical work. The findings underscore the importance of context-sensitive operationalisation of structural capital in subsequent empirical work. Our results align with recent findings in the intellectual capital literature while extending them to a previously unexamined empirical setting. The paper makes two contributions to the intellectual capital literature. The findings advance the intellectual capital programme by establishing the empirical relevance of structural capital. Promising directions for future research include the integration of micro-level cognitive antecedents with the firm-level mechanisms identified here."
"23","2011","Journal of Management","From absorptive capacity to new product development: a mediating role of knowledge recombination","Pittini, O., Vieira, L., & Frydman, W.","Quantitative","absorptive_capacity","Using a longitudinal design, this paper investigates the extent to which absorptive capacity influences new product development. The conceptual model draws on the absorptive capacity and incorporates insights from organisation theory. We test the hypotheses using a longitudinal sample of 124 firms over 5 years. In addition, absorptive capacity is a key precursor of new product development. Knowledge tacitness acts as a contingency on the knowledge transformation-patent productivity relationship. The findings survive a battery of robustness checks including alternative measures and endogeneity-corrected estimators. Several boundary conditions are identified that constrain the generalisability of the findings. We discuss the boundary conditions of the findings and identify implications for future empirical work."
"24","2024","Industrial and Corporate Change","Alliance portfolio size as a driver of alliance performance","Lefebvre, R.","Meta-analysis","alliance_capability","Building on the knowledge-based view of the firm, we examine the role of alliance portfolio size influences alliance performance. We synthesise 62 empirical studies using meta-analytic techniques. The findings reveal that network resources influence alliance performance. The results show that alliance portfolio size consistently shapes alliance performance across the sub-samples examined. We identify open questions concerning the microfoundations of alliance portfolio size and discuss avenues for future research."
"25","2018","Strategic Management Journal","Prior alliance experience, firm performance, and the contingent role of governance form","Steinmann, L., Acheson, B., & Nakamura, K.","Meta-analysis","alliance_capability","We investigate the extent to which prior alliance experience influences firm performance. The theoretical framework reconciles the alliance capability with attention-based perspectives on strategic choice. We synthesise 62 empirical studies using meta-analytic techniques. The empirical analysis shows that governance form moderates the effect of relational capital on alliance success. Alliance management capability exhibits a positive effect on alliance performance. Prior alliance experience drives firm performance through a combination of direct and indirect mechanisms. Sensitivity analyses confirm the robustness of the pooled effect to study quality and sample composition. Taken together, the results refine the boundary conditions of the focal mechanism and suggest several avenues for further empirical work. The results extend prior alliance capability work by introducing a previously unexamined boundary condition."
"26","2008","British Journal of Management","Structural ambidexterity and long-term survival: a organisational ambidexterity perspective","Roussel, W.","Conceptual","ambidexterity","Extending recent work on dynamic capabilities, this paper analyses the role of structural ambidexterity influences long-term survival. We synthesise the organisational ambidexterity literature with recent advances in the microfoundations programme. The conceptual framework is illustrated with examples from the professional services industry; no empirical test is conducted. Moreover, structural ambidexterity is a critical determinant of long-term survival. The results indicate that organisational learning mediates the relationship between exploration and long-term survival. The findings reveal that the results clarify the role of structural ambidexterity in shaping long-term survival. The results show that structural ambidexterity is significantly positively associated with long-term survival. Importantly, organisational ambidexterity shows a strong positive relationship with firm performance. The conceptual contribution is summarised in a typology of focal relationships. The pattern of effects suggests that the construct of structural ambidexterity is more multidimensional than prior work has acknowledged. The study contributes to the organisational ambidexterity literature in three ways."
"27","2008","Academy of Management Review","Reconfiguring stakeholder pressure for financial performance","Steiner, K., & Kontos, M.","Quantitative","natural_RBV","Drawing on the dynamic capabilities perspective, this paper investigates how stakeholder pressure influences financial performance. We synthesise the natural-resource-based view literature with recent advances in the microfoundations programme. The hypotheses are tested using two-stage least squares on data from 1024 firms. Importantly, stakeholder pressure is a strong predictor of financial performance. We also find that pollution prevention capability is a critical antecedent of sustainability performance under the boundary conditions identified. The results show that regulatory stringency improves green absorptive capacity. The findings hold across alternative model specifications and sub-samples. The findings refine the resource-based view by specifying the mechanisms through which stakeholder expectations generate sustained competitive advantage."
"28","2011","Strategic Management Journal","Knowledge transfer mechanisms, innovation outcomes, and the contingent role of appropriability regime","Schultz, O., & Wong, E.","Quantitative","knowledge_based_view","Drawing on the resource-based view, this paper examines the conditions under which knowledge transfer mechanisms influences innovation outcomes. The conceptual framework integrates insights from knowledge-based view and contingency theory. We employ a moderated-mediation design on survey data from 1024 firms. In addition, knowledge resources weaken knowledge application. Moreover, knowledge transfer mechanisms show a positive relationship with innovation outcomes. Furthermore, appropriability regime moderates the effect of knowledge transfer mechanisms on innovation outcomes. The findings hold across alternative model specifications and sub-samples. The pattern of findings is consistent with prior theoretical work but qualifies the strong-form predictions of earlier studies. The study contributes to the knowledge-based view literature in three ways."
"29","2017","Long Range Planning","The role of IT capabilities in shaping digital transformation outcomes","Mehta, K., & Patel, E.","Mixed","IT_capabilities","Drawing on the resource-based view, this paper examines the mechanisms through which IT capabilities influences digital transformation outcomes. The theoretical framework reconciles the IT capabilities with attention-based perspectives on strategic choice. We apply fuzzy-set qualitative comparative analysis to data from 524 firms. We address common-method bias through Harman's single-factor test and through procedural remedies in survey design. We find that IT infrastructure capability accelerates business process agility. Digital capabilities exhibit a robustly positive effect on innovation performance that survives a battery of robustness checks. Contrary to expectations, IT capabilities predict digital transformation outcomes. Consistent with our predictions, digital transformation outcomes are the principal outcomes of IT capabilities. The mediation analysis shows that business process agility carries the principal portion of the effect of IT business alignment on business process agility. Furthermore, the estimates capture the relationship between IT investment and firm performance. IT human resources capability influences process innovation. Consistent with the hypotheses, IT capabilities have a positive and economically meaningful effect on digital transformation outcomes across all specifications. We further test the model on a holdout sample and replicate the principal findings. The pattern of findings is consistent with prior theoretical work but qualifies the strong-form predictions of earlier studies. These findings call into question the assumption that IT capabilities operates uniformly across organisational contexts. The contribution is both theoretical and empirical: theoretical in extending the IT capabilities, empirical in providing the first large-sample test of the proposed mechanisms. We discuss the boundary conditions of the findings and identify implications for future empirical work. Future studies could examine the conditions under which IT capabilities translates into rent appropriation as opposed to value creation."
"30","2011","Academy of Management Journal","Exploration as a driver of long-term survival","Nakamura, T., Kim, V., Lindstrom, E., & Singh, L.","Quantitative","ambidexterity","Using a longitudinal design, this paper investigates whether exploration influences long-term survival. We synthesise the organisational ambidexterity literature with recent advances in the microfoundations programme. Drawing on patent data from 612 firms in the high-technology industry, we test the model. The results indicate that organisational ambidexterity increases long-term survival. Sequential ambidexterity facilitates innovation performance. Organisational design stimulates long-term survival. Exploration increases long-term survival. Supplementary analyses rule out reverse-causality and common-method bias as alternative explanations. The study contributes to the strategic-management literature by demonstrating a previously underexplored contingency."
"31","2002","Academy of Management Journal","Managerial foresight and rent appropriation: an empirical investigation","Engelhardt, T., Berger, N., & Lopez, K.","Quantitative","classic_rbv","This paper examines whether managerial foresight influences rent appropriation. Drawing on panel data from 124 firms over the period 2010-2016, we test the hypotheses. The findings indicate that rare resources substantially improve sustainable competitive advantage under the conditions specified. Managerial foresight substantially improves rent appropriation under the conditions specified. Resource configuration mediates the effect of managerial foresight on rent appropriation. We identify open questions concerning the microfoundations of managerial foresight and discuss avenues for future research."
"32","2003","Long Range Planning","Seizing capability, resource reconfiguration, and firm performance","Park, T., & Salomons, I.","Quantitative","dynamic_capabilities","We investigate the role of seizing capability influences firm performance. Drawing on panel data from 612 firms over the period 2006-2020, we test the hypotheses. We also find that seizing capability enhances strategic flexibility. The contribution is both theoretical and empirical: theoretical in extending the dynamic capabilities, empirical in providing the first large-sample test of the proposed mechanisms."
"33","2010","Long Range Planning","Product stewardship capability and the microfoundations of stakeholder legitimacy","Voigt, G., & Whitmore, B.","Conceptual","natural_RBV","We develop a theoretical framework that addresses the role of product stewardship capability influences stakeholder legitimacy. Drawing on the natural-resource-based view, we develop three hypotheses concerning the focal relationships. The conceptual framework is illustrated with examples from the chemical industry; no empirical test is conducted. The sample spans 15 years and covers firms varying in size and ownership structure. The findings indicate that product stewardship capability is a determinant of stakeholder legitimacy. We further find that product stewardship capability shows a strong positive relationship with stakeholder legitimacy. Consistent with our predictions, industry pollution intensity acts as a contingency on the sustainability capabilities-environmental performance relationship. The findings indicate that green absorptive capacity serves as a mediator of the relationship between product stewardship capability and stakeholder legitimacy. The product stewardship capability-stakeholder legitimacy relationship is moderated by industry pollution intensity. Stakeholder demands robustly drive stakeholder integration after controls for firm and industry characteristics. Industry pollution intensity positively moderates the effect of environmental management capability on environmental innovation. The conceptual contribution is summarised in a typology of focal relationships. Several boundary conditions are identified that constrain the generalisability of the findings. Our principal contribution lies in identifying the mediating mechanisms that link the focal constructs. The paper closes with implications for the design of capability-development initiatives. Future studies could examine the conditions under which product stewardship capability translates into rent appropriation as opposed to value creation."
"34","2011","Journal of Management Studies","Clean technology capability and sustainable competitive advantage: an empirical investigation","Buchholz, F., Saluja, K., & Steiner, B.","Qualitative","natural_RBV","Through a multi-case study, we analyse whether clean technology capability influences sustainable competitive advantage. Through a comparative case study of 2 firms, we examine the proposed mechanisms. Furthermore, clean technology capability has a significant positive effect on stakeholder integration. Clean technology capability reduces sustainable competitive advantage when contextual conditions are unfavourable. Implications for the operationalisation of clean technology capability in subsequent empirical work are drawn out."
"35","2013","Journal of Management","Reconfiguring big data analytics capability for agility","Joshi, L.","Quantitative","IT_capabilities","Drawing on a large-sample empirical design, we test the role of big data analytics capability influences agility. Using a multi-industry sample of 312 firms, we estimate a structural model. Consistent with our predictions, big data analytics capability is negatively associated with agility in the focal sample, contrary to standard predictions. Competitive intensity moderates the effect of data analytics capabilities on organisational learning. Competitive intensity acts as a contingency on the big data analytics capability-agility relationship. The contribution is both theoretical and empirical: theoretical in extending the IT capabilities, empirical in providing the first large-sample test of the proposed mechanisms."
"36","2010","Long Range Planning","Digital strategy and innovation performance: a IT capabilities perspective","Berger, R., Ricci, G., Larsen, H., & Choi, I.","Mixed","IT_capabilities","Using a mixed-method design, we examine the extent to which digital strategy influences innovation performance. We synthesise the IT capabilities literature with recent advances in the microfoundations programme. We employ a mixed-method design combining survey data (124 firms) with 4 in-depth case studies. The empirical analysis shows that innovation performance is determined by digital strategy. We find that IT infrastructure capability is a determinant of firm performance. The findings document the influence of digital strategy on process innovation. The findings highlight the association between data analytics capabilities and business process agility. IT infrastructure capability stimulates innovation performance. The results are robust to alternative operationalisations of the dependent variable. The results are partially consistent with theoretical predictions; the unexpected non-findings in the moderated paths warrant further scrutiny. We identify open questions concerning the microfoundations of digital strategy and discuss avenues for future research."
"37","1995","Journal of Management Studies","Top management team experience and the microfoundations of sustained competitive advantage","Holm, E., & Hossain, C.","Quantitative","dynamic_capabilities","We analyse the role of top management team experience influences sustained competitive advantage. We employ a moderated-mediation design on survey data from 367 firms. Importantly, asset orchestration is the principal driver of strategic flexibility. Top management team experience is positively associated with sustained competitive advantage. The findings survive a battery of robustness checks including alternative measures and endogeneity-corrected estimators. The findings contribute to the dynamic capabilities debate by clarifying a contested empirical relationship."
