"article_id","source","target","relation_type","pattern","evidence"
"38","market uncertainty","innovation capability -> innovation diffusion","moderates","A","The effect of innovation capability on innovation diffusion is amplified when market uncertainty is high and attenuated when market uncertainty is low."
"38","R&D investment","innovation diffusion","pos_assoc","C","innovation diffusion is determined by R&D investment."
"38","innovation culture","new product success","pos_assoc","F","innovation culture is a key driver of new product success."
"39","domestic market experience","international performance","pos_assoc","F","domestic market experience is a key driver of international performance."
"39","institutional environment","domestic competitive advantage","pos_assoc","B","institutional environment significantly enhances domestic competitive advantage across the sample."
"39","country-specific advantages","absorptive capacity","pos_assoc","C","absorptive capacity is driven by country-specific advantages."
"40","absorptive capacity","country-specific advantages -> domestic competitive advantage","mediates","A","absorptive capacity partially mediates the effect of country-specific advantages on domestic competitive advantage."
"40","country-specific advantages","domestic competitive advantage","pos_assoc","D","The empirical model captures the effect of country-specific advantages on domestic competitive advantage after accounting for plausible confounders."
"40","political capabilities","absorptive capacity","pos_assoc","F","political capabilities are precursors of absorptive capacity."
"40","government linkages","internationalisation success","pos_assoc","B","government linkages drive internationalisation success through a combination of direct and indirect mechanisms."
"40","country-specific advantages","domestic competitive advantage","pos_assoc","B","country-specific advantages promote domestic competitive advantage."
"40","domestic market experience","absorptive capacity","pos_assoc","F","domestic market experience is an antecedent of absorptive capacity."
"41","dedicated alliance function","coordination capability","pos_assoc","B","dedicated alliance function increases coordination capability."
"41","relational capital","joint value creation","pos_assoc","D","The results clarify the role of relational capital in shaping joint value creation."
"41","network resources","firm innovation","neg_assoc","E","network resources are negatively associated with firm innovation."
"41","relational capital","joint value creation","pos_assoc","E","relational capital exhibits a positive effect on joint value creation."
"42","knowledge management practices","knowledge stock growth","pos_assoc","B","knowledge management practices increase knowledge stock growth."
"42","knowledge management practices","knowledge stock growth","pos_assoc","F","knowledge management practices are the proximal antecedents of knowledge stock growth."
"42","absorptive capacity","knowledge management practices -> knowledge stock growth","mediates","A","absorptive capacity mediates the effect of knowledge management practices on knowledge stock growth."
"43","absorptive capacity","open innovation -> market share growth","mediates","A","absorptive capacity partially mediates the effect of open innovation on market share growth."
"43","open innovation","market share growth","pos_assoc","E","open innovation shows a strong positive relationship with market share growth."
"44","learning routines","knowledge stock growth","pos_assoc","C","knowledge stock growth is determined by learning routines."
"44","double-loop learning","absorptive capacity","pos_assoc","D","The findings document the influence of double-loop learning on absorptive capacity."
"44","experiential learning","knowledge transfer","pos_assoc","B","experiential learning influences knowledge transfer."
"44","double-loop learning","knowledge transfer","pos_assoc","F","double-loop learning is the principal driver of knowledge transfer across the firms in our sample."
"45","alliance management capability","alliance success","pos_assoc","F","alliance management capability is a key predictor of alliance success."
"45","relational capital","joint value creation","pos_assoc","E","relational capital shows a strong positive relationship with joint value creation."
"45","alliance management capability","coordination capability","pos_assoc","E","alliance management capability has a strong positive effect on coordination capability."
"45","prior alliance experience","knowledge transfer","pos_assoc","E","prior alliance experience shows a strong positive relationship with knowledge transfer."
"46","knowledge integration","external knowledge sourcing -> incremental innovation","mediates","A","The indirect effect of external knowledge sourcing on incremental innovation runs through knowledge integration."
"46","external knowledge sourcing","incremental innovation","pos_assoc","F","external knowledge sourcing is a key antecedent of incremental innovation."
"46","external knowledge sourcing","incremental innovation","pos_assoc","B","external knowledge sourcing accelerates incremental innovation."
"47","knowledge exploitation","organisational learning","neg_assoc","E","knowledge exploitation has a negative effect on organisational learning."
"47","potential absorptive capacity","patent productivity","pos_assoc","E","potential absorptive capacity exhibits a positive effect on patent productivity."
"47","potential absorptive capacity","radical innovation","pos_assoc","B","potential absorptive capacity consistently shapes radical innovation across the sub-samples examined."
"48","knowledge complexity","knowledge exploitation -> exploitative innovation","moderates","A","The effect of knowledge exploitation on exploitative innovation is contingent on knowledge complexity."
"48","knowledge exploitation","exploitative innovation","pos_assoc","F","knowledge exploitation is the principal driver of exploitative innovation."
"48","knowledge exploitation","exploitative innovation","pos_assoc","E","knowledge exploitation exhibits a robustly positive effect on exploitative innovation that survives a battery of robustness checks."
"48","knowledge exploitation","exploitative innovation","pos_assoc","B","knowledge exploitation improves exploitative innovation."
"48","knowledge complexity","potential absorptive capacity -> knowledge recombination","moderates","A","knowledge complexity attenuates the effect of potential absorptive capacity on knowledge recombination."
"49","external knowledge sourcing","innovation performance","pos_assoc","F","innovation performance is an outcome of external knowledge sourcing."
"49","realised absorptive capacity","patent productivity","neg_assoc","B","realised absorptive capacity reduces patent productivity."
"49","knowledge acquisition","patent productivity","pos_assoc","B","knowledge acquisition significantly enhances patent productivity across the sample."
"49","external knowledge sourcing","innovation performance","pos_assoc","E","external knowledge sourcing has a positive effect on innovation performance."
"49","external knowledge sourcing","innovation performance","pos_assoc","D","The findings highlight the association between external knowledge sourcing and innovation performance."
"50","process capital","firm value","pos_assoc","E","process capital has a strong positive effect on firm value."
"50","organisational design","knowledge management","pos_assoc","D","The results identify the impact of organisational design on knowledge management both in isolation and in combination with other strategic resources."
"50","process capital","innovation performance","pos_assoc","C","innovation performance is influenced by process capital."
"50","human resource practices","profitability","pos_assoc","F","human resource practices are the principal antecedents of profitability."
"51","market uncertainty","firm innovation -> absorptive capacity","moderates","A","market uncertainty acts as a contingency on the firm innovation-absorptive capacity relationship."
"51","innovation diffusion","technological diversity -> market share growth","mediates","A","Bootstrap mediation analysis confirms that innovation diffusion mediates the technological diversity-market share growth relationship."
"51","firm innovation","long-term competitiveness","pos_assoc","E","firm innovation has a strong positive effect on long-term competitiveness."
"51","market uncertainty","firm innovation -> long-term competitiveness","moderates","A","market uncertainty moderates the effect of firm innovation on long-term competitiveness."
"51","process innovation","market share growth","pos_assoc","B","process innovation increases market share growth."
"51","innovation diffusion","firm innovation -> long-term competitiveness","mediates","A","innovation diffusion serves as a mediator of the relationship between firm innovation and long-term competitiveness."
"51","firm innovation","long-term competitiveness","pos_assoc","D","The findings highlight the association between firm innovation and long-term competitiveness."
"52","organizational learning","innovation output","neg_assoc","E","organizational learning has a significant negative effect on innovation output."
"52","exploitative learning","knowledge transfer","pos_assoc","D","The estimates capture the relationship between exploitative learning and knowledge transfer."
"52","learning orientation","knowledge stock growth","pos_assoc","F","learning orientation is a key determinant of knowledge stock growth."
"52","knowledge management practices","organisational adaptation","neg_assoc","C","organisational adaptation is reduced by knowledge management practices."
"52","learning routines","innovation performance","pos_assoc","D","The analysis quantifies the contribution of learning routines to innovation performance across the full panel and within key sub-samples."
"53","process capital","firm growth","pos_assoc","C","firm growth is driven by process capital."
"53","human resource practices","intellectual capital integration","pos_assoc","F","human resource practices are antecedents of intellectual capital integration."
"53","firm age","organisational capital -> firm value","moderates","A","firm age moderates the relationship between organisational capital and firm value."
"53","social capital","knowledge management","pos_assoc","D","The model identifies the impact of social capital on knowledge management."
"53","training investment","firm growth","neg_assoc","B","training investment weakens firm growth."
"53","organisational capital","profitability","pos_assoc","D","The results clarify the role of organisational capital in shaping profitability."
"53","organisational capital","firm growth","pos_assoc","E","organisational capital has a significant positive effect on firm growth."
"53","knowledge management","organisational capital -> profitability","mediates","A","The results indicate that knowledge management mediates the relationship between organisational capital and profitability."
"54","training investment","innovation performance","pos_assoc","F","training investment is a predictor of innovation performance."
"54","structural capital","innovation performance","pos_assoc","F","structural capital is a key antecedent of innovation performance."
"54","firm size","human capital -> firm growth","moderates","A","firm size acts as a contingency on the human capital-firm growth relationship."
"54","human capital","firm growth","pos_assoc","B","human capital consistently shapes firm growth across the sub-samples examined."
"54","knowledge management","customer capital -> innovation performance","mediates","A","knowledge management partially mediates the effect of customer capital on innovation performance."
"54","intellectual capital","intellectual capital integration","pos_assoc","C","intellectual capital integration is shaped by intellectual capital through a combination of resource-allocation and learning mechanisms."
"54","social capital","firm growth","pos_assoc","E","social capital shows a positive relationship with firm growth."
"54","customer capital","profitability","pos_assoc","E","customer capital has a significant positive effect on profitability."
"55","knowledge transfer","learning routines -> firm performance","mediates","A","knowledge transfer mediates the relationship between learning routines and firm performance."
"56","regulatory stringency","sustainability performance","pos_assoc","F","regulatory stringency is a key antecedent of sustainability performance in the empirical setting examined."
"56","green innovation capability","environmental innovation","pos_assoc","E","green innovation capability has a positive effect on environmental innovation."
"57","incremental innovation","market share growth","pos_assoc","F","incremental innovation is an antecedent of market share growth."
"57","process innovation","innovation diffusion","pos_assoc","F","process innovation is a strong predictor of innovation diffusion."
"57","knowledge recombination","incremental innovation -> market share growth","mediates","A","knowledge recombination substantially mediates the relationship between incremental innovation and market share growth, accounting for a meaningful share of the total effect."
"57","technological diversity","innovation diffusion","pos_assoc","F","technological diversity is the principal driver of innovation diffusion across the firms in our sample."
"57","technological diversity","long-term competitiveness","pos_assoc","C","long-term competitiveness is predicted by technological diversity."
"57","technological turbulence","product innovation -> long-term competitiveness","moderates","A","technological turbulence moderates the relationship between product innovation and long-term competitiveness."
"58","green absorptive capacity","environmental management capability -> environmental innovation","mediates","A","green absorptive capacity fully mediates the relationship between environmental management capability and environmental innovation."
"58","green innovation capability","sustainable competitive advantage","neg_assoc","B","green innovation capability diminishes sustainable competitive advantage."
"59","political capabilities","internationalisation success","pos_assoc","D","The model identifies the impact of political capabilities on internationalisation success."
"59","institutional capabilities","international performance","pos_assoc","C","international performance is shaped by institutional capabilities through a combination of resource-allocation and learning mechanisms."
"59","political capabilities","internationalisation success","pos_assoc","B","political capabilities predict internationalisation success."
"60","innovation performance","market share growth","pos_assoc","B","innovation performance drives market share growth through a combination of direct and indirect mechanisms."
"60","innovation diffusion","innovation performance -> market share growth","mediates","A","innovation diffusion mediates the effect of innovation performance on market share growth."
"60","innovation outcomes","market share growth","pos_assoc","F","innovation outcomes are the proximal antecedents of market share growth."
"60","innovation outputs","long-term competitiveness","pos_assoc","D","The analysis isolates the link between innovation outputs and long-term competitiveness."
"61","big data analytics capability","firm-level performance","pos_assoc","F","big data analytics capability is a precursor of firm-level performance."
"61","IT human resources capability","agility","pos_assoc","B","IT human resources capability influences agility."
"61","IT investment","agility","pos_assoc","E","IT investment has a strong positive effect on agility."
"61","IT capabilities","process innovation","pos_assoc","B","IT capabilities influence process innovation."
"61","big data analytics capability","firm performance","pos_assoc","E","big data analytics capability is positively associated with firm performance."
"62","exploitative learning","organisational adaptation","pos_assoc","F","organisational adaptation is the principal outcome of exploitative learning."
"62","learning orientation","organisational adaptation","neg_assoc","B","learning orientation diminishes organisational adaptation."
"62","knowledge integration","exploitative learning -> organisational adaptation","mediates","A","The effect of exploitative learning on organisational adaptation is mediated by knowledge integration."
"62","exploitative learning","organisational adaptation","pos_assoc","E","exploitative learning has a strong positive effect on organisational adaptation."
"62","double-loop learning","organisational adaptation","pos_assoc","B","double-loop learning improves organisational adaptation."
"62","knowledge tacitness","exploratory learning -> organisational adaptation","moderates","A","knowledge tacitness positively moderates the effect of exploratory learning on organisational adaptation."
"63","scientific collaboration","knowledge recombination","pos_assoc","B","scientific collaboration promotes knowledge recombination."
"63","scientific collaboration","patent productivity","neg_assoc","E","scientific collaboration exhibits a negative effect on patent productivity."
"63","realised absorptive capacity","patent productivity","pos_assoc","B","realised absorptive capacity substantially improves patent productivity under the conditions specified."
"63","knowledge transformation","exploratory innovation","pos_assoc","F","knowledge transformation is a key precursor of exploratory innovation."
"64","stakeholder integration","stakeholder demands -> stakeholder integration","mediates","A","stakeholder integration fully mediates the relationship between stakeholder demands and stakeholder integration."
"64","clean technology capability","sustainable competitive advantage","pos_assoc","C","sustainable competitive advantage is predicted by clean technology capability."
"64","product stewardship capability","stakeholder legitimacy","neg_assoc","E","product stewardship capability is negatively associated with stakeholder legitimacy."
"64","clean technology capability","sustainable competitive advantage","pos_assoc","F","clean technology capability emerges as a key determinant of sustainable competitive advantage in the configurational analysis."
"64","stakeholder pressure","sustainability performance","pos_assoc","C","sustainability performance is enhanced by stakeholder pressure."
